url,standard_code,standard_desc,title,description,length
http://www.bootstrapworld.org/materials/spring2016/courses/bs1/units/unit1/index.html,5.G.1-2, Graph points on the coordinate plane to solve real-world and mathematical problems,Unit 1Videogames and Coordinate Planes,"Students discuss the components of their favorite videogames, and discover that they can be reduced to a series of coordinates. They then explore coordinates in Cartesian space, and identify the coordinates for the characters in a game at various points in time. Once they are comfortable with coordinates, they brainstorm their own games and create sample coordinate lists for different points in time in their own game.", 85 minutes
http://www.bootstrapworld.org/materials/spring2016/courses/bs1/units/unit1/index.html,5.OA.1-2, Write and interpret numerical expressions,Unit 1Videogames and Coordinate Planes,"Students discuss the components of their favorite videogames, and discover that they can be reduced to a series of coordinates. They then explore coordinates in Cartesian space, and identify the coordinates for the characters in a game at various points in time. Once they are comfortable with coordinates, they brainstorm their own games and create sample coordinate lists for different points in time in their own game.", 85 minutes
http://www.bootstrapworld.org/materials/spring2016/courses/bs1/units/unit1/index.html,6.NS.5-8," The student performs operations with negative numbers, works with the number line and coordinate plane, order and absolute value of numbers, and solves real-world problems with rational numbers.",Unit 1Videogames and Coordinate Planes,"Students discuss the components of their favorite videogames, and discover that they can be reduced to a series of coordinates. They then explore coordinates in Cartesian space, and identify the coordinates for the characters in a game at various points in time. Once they are comfortable with coordinates, they brainstorm their own games and create sample coordinate lists for different points in time in their own game.", 85 minutes
http://www.bootstrapworld.org/materials/spring2016/courses/bs1/units/unit1/index.html,A-SSE.1-2, The student interprets the structure of expressions to solve problems in context,Unit 1Videogames and Coordinate Planes,"Students discuss the components of their favorite videogames, and discover that they can be reduced to a series of coordinates. They then explore coordinates in Cartesian space, and identify the coordinates for the characters in a game at various points in time. Once they are comfortable with coordinates, they brainstorm their own games and create sample coordinate lists for different points in time in their own game.", 85 minutes
http://www.bootstrapworld.org/materials/spring2016/courses/bs1/units/unit1/index.html,N-Q, The student reasons quantitatively in using units to solve problems,Unit 1Videogames and Coordinate Planes,"Students discuss the components of their favorite videogames, and discover that they can be reduced to a series of coordinates. They then explore coordinates in Cartesian space, and identify the coordinates for the characters in a game at various points in time. Once they are comfortable with coordinates, they brainstorm their own games and create sample coordinate lists for different points in time in their own game.", 85 minutes
http://www.bootstrapworld.org/materials/spring2016/courses/bs1/units/unit1/index.html,BS-CE," The student translates between structured expressions as arithmetic, code, and Circles of Evaluation",Unit 1Videogames and Coordinate Planes,"Students discuss the components of their favorite videogames, and discover that they can be reduced to a series of coordinates. They then explore coordinates in Cartesian space, and identify the coordinates for the characters in a game at various points in time. Once they are comfortable with coordinates, they brainstorm their own games and create sample coordinate lists for different points in time in their own game.", 85 minutes
http://www.bootstrapworld.org/materials/spring2016/courses/bs1/units/unit1/index.html,BS-IDE," The student is familiar with using a REPL, entering expressions properly, and interpreting error messages",Unit 1Videogames and Coordinate Planes,"Students discuss the components of their favorite videogames, and discover that they can be reduced to a series of coordinates. They then explore coordinates in Cartesian space, and identify the coordinates for the characters in a game at various points in time. Once they are comfortable with coordinates, they brainstorm their own games and create sample coordinate lists for different points in time in their own game.", 85 minutes
http://www.bootstrapworld.org/materials/spring2016/courses/bs1/units/unit1/index.html,BS-M, The student models a problem in context and determines the data needed to describe the problem,Unit 1Videogames and Coordinate Planes,"Students discuss the components of their favorite videogames, and discover that they can be reduced to a series of coordinates. They then explore coordinates in Cartesian space, and identify the coordinates for the characters in a game at various points in time. Once they are comfortable with coordinates, they brainstorm their own games and create sample coordinate lists for different points in time in their own game.", 85 minutes
http://www.bootstrapworld.org/materials/spring2016/courses/bs1/units/unit1/index.html,BS-PL.1, The student is familiar with declaring values and applying built-in functions using the programming language,Unit 1Videogames and Coordinate Planes,"Students discuss the components of their favorite videogames, and discover that they can be reduced to a series of coordinates. They then explore coordinates in Cartesian space, and identify the coordinates for the characters in a game at various points in time. Once they are comfortable with coordinates, they brainstorm their own games and create sample coordinate lists for different points in time in their own game.", 85 minutes
http://www.bootstrapworld.org/materials/spring2016/courses/bs1/units/unit2/index.html,A-SSE.1-2, The student interprets the structure of expressions to solve problems in context,"Unit 2Contracts, Strings and Images","Students are introduced to a set-mapping representation for functions, in which the function object exists as a means of translating points
from a Domain into a Range. Coupled with their understanding of Circles of Evaluation, students generalize their understanding of functions to
include other datatypes, including Strings and Images.", 90 minutes
http://www.bootstrapworld.org/materials/spring2016/courses/bs1/units/unit2/index.html,F-IF.1-3," The student uses function notation to describe, evaluate, and interpret functions in terms of domain and range","Unit 2Contracts, Strings and Images","Students are introduced to a set-mapping representation for functions, in which the function object exists as a means of translating points
from a Domain into a Range. Coupled with their understanding of Circles of Evaluation, students generalize their understanding of functions to
include other datatypes, including Strings and Images.", 90 minutes
http://www.bootstrapworld.org/materials/spring2016/courses/bs1/units/unit2/index.html,N-Q, The student reasons quantitatively in using units to solve problems,"Unit 2Contracts, Strings and Images","Students are introduced to a set-mapping representation for functions, in which the function object exists as a means of translating points
from a Domain into a Range. Coupled with their understanding of Circles of Evaluation, students generalize their understanding of functions to
include other datatypes, including Strings and Images.", 90 minutes
http://www.bootstrapworld.org/materials/spring2016/courses/bs1/units/unit2/index.html,BS-CE," The student translates between structured expressions as arithmetic, code, and Circles of Evaluation","Unit 2Contracts, Strings and Images","Students are introduced to a set-mapping representation for functions, in which the function object exists as a means of translating points
from a Domain into a Range. Coupled with their understanding of Circles of Evaluation, students generalize their understanding of functions to
include other datatypes, including Strings and Images.", 90 minutes
http://www.bootstrapworld.org/materials/spring2016/courses/bs1/units/unit2/index.html,BS-IDE," The student is familiar with using a REPL, entering expressions properly, and interpreting error messages","Unit 2Contracts, Strings and Images","Students are introduced to a set-mapping representation for functions, in which the function object exists as a means of translating points
from a Domain into a Range. Coupled with their understanding of Circles of Evaluation, students generalize their understanding of functions to
include other datatypes, including Strings and Images.", 90 minutes
http://www.bootstrapworld.org/materials/spring2016/courses/bs1/units/unit2/index.html,BS-PL.1, The student is familiar with declaring values and applying built-in functions using the programming language,"Unit 2Contracts, Strings and Images","Students are introduced to a set-mapping representation for functions, in which the function object exists as a means of translating points
from a Domain into a Range. Coupled with their understanding of Circles of Evaluation, students generalize their understanding of functions to
include other datatypes, including Strings and Images.", 90 minutes
http://www.bootstrapworld.org/materials/spring2016/courses/bs1/units/unit2/index.html,BS-PL.2, The student is comfortable using and writing Contracts for built-in functions,"Unit 2Contracts, Strings and Images","Students are introduced to a set-mapping representation for functions, in which the function object exists as a means of translating points
from a Domain into a Range. Coupled with their understanding of Circles of Evaluation, students generalize their understanding of functions to
include other datatypes, including Strings and Images.", 90 minutes
http://www.bootstrapworld.org/materials/spring2016/courses/bs1/units/unit3/index.html,6.NS.5-8," The student performs operations with negative numbers, works with the number line and coordinate plane, order and absolute value of numbers, and solves real-world problems with rational numbers.",Unit 3Introduction to Definitions,"Students are introduced to the Definitions area, and learn the syntax for defining values of various types.  They are also introduced to the syntax of defining functions and creating examples.", 100 minutes
http://www.bootstrapworld.org/materials/spring2016/courses/bs1/units/unit3/index.html,7.EE.3-4, The student uses numerical and algebraic expressions and equations to solve real-life and mathematical problems,Unit 3Introduction to Definitions,"Students are introduced to the Definitions area, and learn the syntax for defining values of various types.  They are also introduced to the syntax of defining functions and creating examples.", 100 minutes
http://www.bootstrapworld.org/materials/spring2016/courses/bs1/units/unit3/index.html,A-SSE.1-2, The student interprets the structure of expressions to solve problems in context,Unit 3Introduction to Definitions,"Students are introduced to the Definitions area, and learn the syntax for defining values of various types.  They are also introduced to the syntax of defining functions and creating examples.", 100 minutes
http://www.bootstrapworld.org/materials/spring2016/courses/bs1/units/unit3/index.html,F-BF.1-2, The student models a relationship between two quantities by building a function,Unit 3Introduction to Definitions,"Students are introduced to the Definitions area, and learn the syntax for defining values of various types.  They are also introduced to the syntax of defining functions and creating examples.", 100 minutes
http://www.bootstrapworld.org/materials/spring2016/courses/bs1/units/unit3/index.html,F-IF.1-3," The student uses function notation to describe, evaluate, and interpret functions in terms of domain and range",Unit 3Introduction to Definitions,"Students are introduced to the Definitions area, and learn the syntax for defining values of various types.  They are also introduced to the syntax of defining functions and creating examples.", 100 minutes
http://www.bootstrapworld.org/materials/spring2016/courses/bs1/units/unit3/index.html,F-IF.4-6, The student interprets the behavior of functions that arise in applications in terms of the context,Unit 3Introduction to Definitions,"Students are introduced to the Definitions area, and learn the syntax for defining values of various types.  They are also introduced to the syntax of defining functions and creating examples.", 100 minutes
http://www.bootstrapworld.org/materials/spring2016/courses/bs1/units/unit3/index.html,BS-DR.1, The student is able to translate a word problem into a Contract and Purpose Statement,Unit 3Introduction to Definitions,"Students are introduced to the Definitions area, and learn the syntax for defining values of various types.  They are also introduced to the syntax of defining functions and creating examples.", 100 minutes
http://www.bootstrapworld.org/materials/spring2016/courses/bs1/units/unit3/index.html,BS-DR.2, The student can derive test cases for a given contract and purpose statement,Unit 3Introduction to Definitions,"Students are introduced to the Definitions area, and learn the syntax for defining values of various types.  They are also introduced to the syntax of defining functions and creating examples.", 100 minutes
http://www.bootstrapworld.org/materials/spring2016/courses/bs1/units/unit3/index.html,BS-DR.3," Given mutiple test cases, the student can define a function",Unit 3Introduction to Definitions,"Students are introduced to the Definitions area, and learn the syntax for defining values of various types.  They are also introduced to the syntax of defining functions and creating examples.", 100 minutes
http://www.bootstrapworld.org/materials/spring2016/courses/bs1/units/unit3/index.html,BS-IDE," The student is familiar with using a REPL, entering expressions properly, and interpreting error messages",Unit 3Introduction to Definitions,"Students are introduced to the Definitions area, and learn the syntax for defining values of various types.  They are also introduced to the syntax of defining functions and creating examples.", 100 minutes
http://www.bootstrapworld.org/materials/spring2016/courses/bs1/units/unit3/index.html,BS-PL.2, The student is comfortable using and writing Contracts for built-in functions,Unit 3Introduction to Definitions,"Students are introduced to the Definitions area, and learn the syntax for defining values of various types.  They are also introduced to the syntax of defining functions and creating examples.", 100 minutes
http://www.bootstrapworld.org/materials/spring2016/courses/bs1/units/unit3/index.html,BS-PL.3, The student is able to use the syntax of the programming language to define values and functions,Unit 3Introduction to Definitions,"Students are introduced to the Definitions area, and learn the syntax for defining values of various types.  They are also introduced to the syntax of defining functions and creating examples.", 100 minutes
http://www.bootstrapworld.org/materials/spring2016/courses/bs1/units/unit4/index.html,8.F.1-3," The student defines, evaluates, and compares functions",Unit 4The Design Recipe,Students continue to practice the Design Recipe by applying it to simple problems., 110 minutes
http://www.bootstrapworld.org/materials/spring2016/courses/bs1/units/unit4/index.html,A-SSE.1-2, The student interprets the structure of expressions to solve problems in context,Unit 4The Design Recipe,Students continue to practice the Design Recipe by applying it to simple problems., 110 minutes
http://www.bootstrapworld.org/materials/spring2016/courses/bs1/units/unit4/index.html,F-BF.3-4, The student builds new functions from existing functions.,Unit 4The Design Recipe,Students continue to practice the Design Recipe by applying it to simple problems., 110 minutes
http://www.bootstrapworld.org/materials/spring2016/courses/bs1/units/unit4/index.html,F-IF.1-3," The student uses function notation to describe, evaluate, and interpret functions in terms of domain and range",Unit 4The Design Recipe,Students continue to practice the Design Recipe by applying it to simple problems., 110 minutes
http://www.bootstrapworld.org/materials/spring2016/courses/bs1/units/unit4/index.html,F-IF.4-6, The student interprets the behavior of functions that arise in applications in terms of the context,Unit 4The Design Recipe,Students continue to practice the Design Recipe by applying it to simple problems., 110 minutes
http://www.bootstrapworld.org/materials/spring2016/courses/bs1/units/unit4/index.html,BS-DR.1, The student is able to translate a word problem into a Contract and Purpose Statement,Unit 4The Design Recipe,Students continue to practice the Design Recipe by applying it to simple problems., 110 minutes
http://www.bootstrapworld.org/materials/spring2016/courses/bs1/units/unit4/index.html,BS-DR.2, The student can derive test cases for a given contract and purpose statement,Unit 4The Design Recipe,Students continue to practice the Design Recipe by applying it to simple problems., 110 minutes
http://www.bootstrapworld.org/materials/spring2016/courses/bs1/units/unit4/index.html,BS-DR.3," Given mutiple test cases, the student can define a function",Unit 4The Design Recipe,Students continue to practice the Design Recipe by applying it to simple problems., 110 minutes
http://www.bootstrapworld.org/materials/spring2016/courses/bs1/units/unit5/index.html,F-IF.1-3," The student uses function notation to describe, evaluate, and interpret functions in terms of domain and range",Unit 5Game Animation,"Students define functions that map attributes of their game from one frame to the next, allowing them to move their dangers, targets, and projectiles.", 70 minutes
http://www.bootstrapworld.org/materials/spring2016/courses/bs1/units/unit5/index.html,F-LE.5, The student interprets expressions for functions in terms of the situations they model,Unit 5Game Animation,"Students define functions that map attributes of their game from one frame to the next, allowing them to move their dangers, targets, and projectiles.", 70 minutes
http://www.bootstrapworld.org/materials/spring2016/courses/bs1/units/unit5/index.html,BS-DR.2, The student can derive test cases for a given contract and purpose statement,Unit 5Game Animation,"Students define functions that map attributes of their game from one frame to the next, allowing them to move their dangers, targets, and projectiles.", 70 minutes
http://www.bootstrapworld.org/materials/spring2016/courses/bs1/units/unit5/index.html,BS-DR.3," Given mutiple test cases, the student can define a function",Unit 5Game Animation,"Students define functions that map attributes of their game from one frame to the next, allowing them to move their dangers, targets, and projectiles.", 70 minutes
http://www.bootstrapworld.org/materials/spring2016/courses/bs1/units/unit5/index.html,BS-IDE," The student is familiar with using a REPL, entering expressions properly, and interpreting error messages",Unit 5Game Animation,"Students define functions that map attributes of their game from one frame to the next, allowing them to move their dangers, targets, and projectiles.", 70 minutes
http://www.bootstrapworld.org/materials/spring2016/courses/bs1/units/unit5/index.html,BS-PL.1, The student is familiar with declaring values and applying built-in functions using the programming language,Unit 5Game Animation,"Students define functions that map attributes of their game from one frame to the next, allowing them to move their dangers, targets, and projectiles.", 70 minutes
http://www.bootstrapworld.org/materials/spring2016/courses/bs1/units/unit5/index.html,BS-PL.2, The student is comfortable using and writing Contracts for built-in functions,Unit 5Game Animation,"Students define functions that map attributes of their game from one frame to the next, allowing them to move their dangers, targets, and projectiles.", 70 minutes
http://www.bootstrapworld.org/materials/spring2016/courses/bs1/units/unit5/index.html,BS-PL.3, The student is able to use the syntax of the programming language to define values and functions,Unit 5Game Animation,"Students define functions that map attributes of their game from one frame to the next, allowing them to move their dangers, targets, and projectiles.", 70 minutes
http://www.bootstrapworld.org/materials/spring2016/courses/bs1/units/unit6/index.html,7.EE.3-4, The student uses numerical and algebraic expressions and equations to solve real-life and mathematical problems,Unit 6Teaching Functions to Compare,"Students discover Boolean types, and use them to create programs that test values, and then model scenarios using these programs.", 90 minutes
http://www.bootstrapworld.org/materials/spring2016/courses/bs1/units/unit6/index.html,8.F.1-3," The student defines, evaluates, and compares functions",Unit 6Teaching Functions to Compare,"Students discover Boolean types, and use them to create programs that test values, and then model scenarios using these programs.", 90 minutes
http://www.bootstrapworld.org/materials/spring2016/courses/bs1/units/unit6/index.html,A-CED.1-4, The student solves equations and inequalities in one or more variable that describe numbers or relationships,Unit 6Teaching Functions to Compare,"Students discover Boolean types, and use them to create programs that test values, and then model scenarios using these programs.", 90 minutes
http://www.bootstrapworld.org/materials/spring2016/courses/bs1/units/unit6/index.html,A-SSE.1-2, The student interprets the structure of expressions to solve problems in context,Unit 6Teaching Functions to Compare,"Students discover Boolean types, and use them to create programs that test values, and then model scenarios using these programs.", 90 minutes
http://www.bootstrapworld.org/materials/spring2016/courses/bs1/units/unit6/index.html,F-IF.1-3," The student uses function notation to describe, evaluate, and interpret functions in terms of domain and range",Unit 6Teaching Functions to Compare,"Students discover Boolean types, and use them to create programs that test values, and then model scenarios using these programs.", 90 minutes
http://www.bootstrapworld.org/materials/spring2016/courses/bs1/units/unit6/index.html,F-IF.4-6, The student interprets the behavior of functions that arise in applications in terms of the context,Unit 6Teaching Functions to Compare,"Students discover Boolean types, and use them to create programs that test values, and then model scenarios using these programs.", 90 minutes
http://www.bootstrapworld.org/materials/spring2016/courses/bs1/units/unit6/index.html,BS-DR.2, The student can derive test cases for a given contract and purpose statement,Unit 6Teaching Functions to Compare,"Students discover Boolean types, and use them to create programs that test values, and then model scenarios using these programs.", 90 minutes
http://www.bootstrapworld.org/materials/spring2016/courses/bs1/units/unit6/index.html,BS-DR.3," Given mutiple test cases, the student can define a function",Unit 6Teaching Functions to Compare,"Students discover Boolean types, and use them to create programs that test values, and then model scenarios using these programs.", 90 minutes
http://www.bootstrapworld.org/materials/spring2016/courses/bs1/units/unit6/index.html,BS-IDE," The student is familiar with using a REPL, entering expressions properly, and interpreting error messages",Unit 6Teaching Functions to Compare,"Students discover Boolean types, and use them to create programs that test values, and then model scenarios using these programs.", 90 minutes
http://www.bootstrapworld.org/materials/spring2016/courses/bs1/units/unit6/index.html,BS-PL.1, The student is familiar with declaring values and applying built-in functions using the programming language,Unit 6Teaching Functions to Compare,"Students discover Boolean types, and use them to create programs that test values, and then model scenarios using these programs.", 90 minutes
http://www.bootstrapworld.org/materials/spring2016/courses/bs1/units/unit6/index.html,BS-PL.2, The student is comfortable using and writing Contracts for built-in functions,Unit 6Teaching Functions to Compare,"Students discover Boolean types, and use them to create programs that test values, and then model scenarios using these programs.", 90 minutes
http://www.bootstrapworld.org/materials/spring2016/courses/bs1/units/unit7/index.html,A-SSE.1-2, The student interprets the structure of expressions to solve problems in context,Unit 7Conditional Branching,Students use piecewise functions to move their players in response to key-presses., 50 minutes
http://www.bootstrapworld.org/materials/spring2016/courses/bs1/units/unit7/index.html,BS-DR.1, The student is able to translate a word problem into a Contract and Purpose Statement,Unit 7Conditional Branching,Students use piecewise functions to move their players in response to key-presses., 50 minutes
http://www.bootstrapworld.org/materials/spring2016/courses/bs1/units/unit7/index.html,BS-DR.2, The student can derive test cases for a given contract and purpose statement,Unit 7Conditional Branching,Students use piecewise functions to move their players in response to key-presses., 50 minutes
http://www.bootstrapworld.org/materials/spring2016/courses/bs1/units/unit7/index.html,BS-DR.3," Given mutiple test cases, the student can define a function",Unit 7Conditional Branching,Students use piecewise functions to move their players in response to key-presses., 50 minutes
http://www.bootstrapworld.org/materials/spring2016/courses/bs1/units/unit7/index.html,BS-PL.4, The student is familiar with the syntax for conditionals,Unit 7Conditional Branching,Students use piecewise functions to move their players in response to key-presses., 50 minutes
http://www.bootstrapworld.org/materials/spring2016/courses/bs1/units/unit8/index.html,6.NS.5-8," The student performs operations with negative numbers, works with the number line and coordinate plane, order and absolute value of numbers, and solves real-world problems with rational numbers.",Unit 8Collision Detection,"Students derive, discuss, and prove the Pythagorean theorem, then use this theorem—in conjunction with Booleans—to detect collisions in their games.", 85 minutes
http://www.bootstrapworld.org/materials/spring2016/courses/bs1/units/unit8/index.html,8.F.1-3," The student defines, evaluates, and compares functions",Unit 8Collision Detection,"Students derive, discuss, and prove the Pythagorean theorem, then use this theorem—in conjunction with Booleans—to detect collisions in their games.", 85 minutes
http://www.bootstrapworld.org/materials/spring2016/courses/bs1/units/unit8/index.html,8.G.6-8, The student uses the Pythagorean Theorem to solve real-world and mathematical problems,Unit 8Collision Detection,"Students derive, discuss, and prove the Pythagorean theorem, then use this theorem—in conjunction with Booleans—to detect collisions in their games.", 85 minutes
http://www.bootstrapworld.org/materials/spring2016/courses/bs1/units/unit8/index.html,A-SSE.1-2, The student interprets the structure of expressions to solve problems in context,Unit 8Collision Detection,"Students derive, discuss, and prove the Pythagorean theorem, then use this theorem—in conjunction with Booleans—to detect collisions in their games.", 85 minutes
http://www.bootstrapworld.org/materials/spring2016/courses/bs1/units/unit8/index.html,F-IF.1-3," The student uses function notation to describe, evaluate, and interpret functions in terms of domain and range",Unit 8Collision Detection,"Students derive, discuss, and prove the Pythagorean theorem, then use this theorem—in conjunction with Booleans—to detect collisions in their games.", 85 minutes
http://www.bootstrapworld.org/materials/spring2016/courses/bs1/units/unit8/index.html,F-IF.4-6, The student interprets the behavior of functions that arise in applications in terms of the context,Unit 8Collision Detection,"Students derive, discuss, and prove the Pythagorean theorem, then use this theorem—in conjunction with Booleans—to detect collisions in their games.", 85 minutes
http://www.bootstrapworld.org/materials/spring2016/courses/bs1/units/unit8/index.html,BS-DR.3," Given mutiple test cases, the student can define a function",Unit 8Collision Detection,"Students derive, discuss, and prove the Pythagorean theorem, then use this theorem—in conjunction with Booleans—to detect collisions in their games.", 85 minutes
http://www.bootstrapworld.org/materials/spring2016/courses/bs1/units/unit8/index.html,BS-PL.3, The student is able to use the syntax of the programming language to define values and functions,Unit 8Collision Detection,"Students derive, discuss, and prove the Pythagorean theorem, then use this theorem—in conjunction with Booleans—to detect collisions in their games.", 85 minutes
http://www.bootstrapworld.org/materials/spring2016/courses/bs1/units/unit8/index.html,BS-PL.4, The student is familiar with the syntax for conditionals,Unit 8Collision Detection,"Students derive, discuss, and prove the Pythagorean theorem, then use this theorem—in conjunction with Booleans—to detect collisions in their games.", 85 minutes
